Learning Rate,Filters,Kernel Size,Strides,optimizer,Conv Dropout Rate,FC Dropout Rate,Units,Pool Size,Epochs,Batch Size,Train Accuracy,Validation Accuracy,Model Size,History Plot
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,32,0.981249988079071,1.0,3.1721839904785156,./plots/eye/hist/history_61.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",30,64,0.9854166507720947,0.800000011920929,3.1721839904785156,./plots/eye/hist/history_62.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,16,0.9750000238418579,1.0,3.1721839904785156,./plots/eye/hist/history_63.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,32,0.9833333492279053,0.9833333492279053,3.1721839904785156,./plots/eye/hist/history_64.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[128, 64, 32]","[(2, 2), (2, 2)]",40,64,0.981249988079071,0.9333333373069763,3.1721839904785156,./plots/eye/hist/history_65.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,16,0.9666666388511658,0.8166666626930237,1.5938148498535156,./plots/eye/hist/history_66.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,32,0.9895833134651184,0.8333333134651184,1.5938148498535156,./plots/eye/hist/history_67.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",30,64,0.9791666865348816,0.5333333611488342,1.5938148498535156,./plots/eye/hist/history_68.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,16,0.9833333492279053,0.8666666746139526,1.5938148498535156,./plots/eye/hist/history_69.png
0.001,"[8, 16]","[(3, 3), (3, 3)]","[(1, 1), (1, 1)]",adam,"[0.3, 0.5]","[0.5, 0, 0]","[64, 64, 32]","[(2, 2), (2, 2)]",40,32,0.9854166507720947,0.9666666388511658,1.5938148498535156,./plots/eye/hist/history_70.png
